iter	MultiClass
0	1.597056695
1	1.585587136
2	1.573632952
3	1.56130298
4	1.549118238
5	1.534838798
6	1.523777416
7	1.512844548
8	1.501921084
9	1.489874955
10	1.480563132
11	1.468206691
12	1.460266287
13	1.448770782
14	1.439020742
15	1.427164946
16	1.418891765
17	1.408816698
18	1.39801809
19	1.386249363
20	1.375733728
21	1.363071763
22	1.352782942
23	1.344166885
24	1.336537752
25	1.325850417
26	1.312895988
27	1.304637523
28	1.296208054
29	1.287854683
30	1.278916472
31	1.269949093
32	1.261139569
33	1.249135669
34	1.240216613
35	1.232797925
36	1.226893187
37	1.219277288
38	1.212312054
39	1.203126393
40	1.194167373
41	1.185651967
42	1.175161495
43	1.167151262
44	1.160486937
45	1.154045334
46	1.146065749
47	1.137783948
48	1.128170781
49	1.120146443
50	1.112579041
51	1.104197547
52	1.095907388
53	1.08725633
54	1.079807167
55	1.071812171
56	1.063054976
57	1.055734501
58	1.046951272
59	1.039698276
60	1.034241506
61	1.026314076
62	1.021508928
63	1.014257064
64	1.00467141
65	0.996675543
66	0.9888434526
67	0.9821375086
68	0.9758593332
69	0.9718913515
70	0.9652925021
71	0.9594668226
72	0.9529512109
73	0.9456031353
74	0.9385517899
75	0.9303540979
76	0.9252813015
77	0.9195965863
78	0.9145692398
79	0.9078939441
80	0.9019742305
81	0.8980106022
82	0.8932418497
83	0.8877768088
84	0.8823691462
85	0.8787348988
86	0.8735523088
87	0.8680357232
88	0.8603812529
89	0.8549585274
90	0.8496092009
91	0.8445374493
92	0.8405912348
93	0.8379999833
94	0.8305727623
95	0.825870269
96	0.8208618164
97	0.8145635281
98	0.8101124022
99	0.804379538
100	0.7977838231
101	0.7924029776
102	0.7883770952
103	0.7829180621
104	0.7779013379
105	0.7745152363
106	0.7703803439
107	0.7654667962
108	0.761143313
109	0.7553644765
110	0.7511921446
111	0.7482410382
112	0.7459101221
113	0.7405333689
114	0.7363706145
115	0.7321454319
116	0.7276884724
117	0.723742432
118	0.7178794001
119	0.7130739046
120	0.7130734693
121	0.7098726498
122	0.7056800309
123	0.7020689438
124	0.6988691692
125	0.694153485
126	0.6898950857
127	0.6858298918
128	0.6820828904
129	0.6785485544
130	0.6734740601
131	0.6694777376
132	0.6651614811
133	0.6598158549
134	0.656927438
135	0.6547161108
136	0.654715719
137	0.6505655025
138	0.6475562777
139	0.6440054421
140	0.6405417188
141	0.6356673955
142	0.6320329304
143	0.6287543587
144	0.6251721783
145	0.622593726
146	0.6196160201
147	0.6166968679
148	0.6128393328
149	0.6096611948
150	0.6060902028
151	0.6019150412
152	0.5976027898
153	0.5934510496
154	0.589942573
155	0.5875745656
156	0.5849678159
157	0.5830784252
158	0.5802491715
159	0.5771772572
160	0.5748205253
161	0.5724903493
162	0.5692931868
163	0.5657029961
164	0.5636958885
165	0.5596945595
166	0.5559039368
167	0.552314878
168	0.5486982185
169	0.5463323879
170	0.5435063121
171	0.5403122405
172	0.5371939187
173	0.5343029768
174	0.5320502484
175	0.5283213573
176	0.5254089094
177	0.5219335189
178	0.5181594392
179	0.5153361061
180	0.5130091081
181	0.5090919745
182	0.5057861502
183	0.5024709661
184	0.5005828379
185	0.49851648
186	0.4957179615
187	0.4927821357
188	0.4909848201
189	0.4877157824
190	0.4852426831
191	0.4822319346
192	0.4801194304
193	0.4773920035
194	0.4748859487
195	0.4719170803
196	0.4692373235
197	0.4667174683
198	0.4634705025
199	0.4612387577
200	0.4585741073
201	0.4561428881
202	0.4533633941
203	0.451323331
204	0.4482489789
205	0.4456040931
206	0.4429101005
207	0.4396468093
208	0.4367517316
209	0.4343822441
210	0.4323823197
211	0.4297837544
212	0.4276505278
213	0.4248816562
214	0.4227236151
215	0.4197689824
216	0.4173051124
217	0.4152391464
218	0.4124970919
219	0.41081536
220	0.4090454276
221	0.4070741052
222	0.4045071459
223	0.4020808461
224	0.400072476
225	0.3977975451
226	0.3958428528
227	0.3939905969
228	0.3912737489
229	0.3892331634
230	0.3865922827
231	0.3838254572
232	0.3817419033
233	0.380494383
234	0.3784722125
235	0.3768123785
236	0.3749285166
237	0.3725835389
238	0.3706749496
239	0.3681117777
240	0.3671058296
241	0.3652994589
242	0.3635315072
243	0.3616175849
244	0.3596981337
245	0.3579601554
246	0.3560472127
247	0.3542519867
248	0.3528389053
249	0.3510754812
