iter	Passed	Remaining
0	12	2989
1	22	2834
2	33	2767
3	44	2722
4	54	2686
5	65	2658
6	75	2624
7	86	2602
8	96	2589
9	107	2587
10	119	2597
11	130	2589
12	141	2579
13	152	2576
14	162	2551
15	173	2538
16	184	2533
17	196	2530
18	208	2530
19	218	2516
20	228	2492
21	239	2478
22	250	2469
23	260	2457
24	272	2448
25	283	2440
26	294	2433
27	306	2433
28	318	2426
29	329	2418
30	341	2409
31	352	2403
32	362	2384
33	374	2380
34	386	2375
35	397	2363
36	407	2347
37	419	2340
38	429	2322
39	439	2307
40	450	2294
41	461	2286
42	473	2280
43	485	2273
44	496	2263
45	508	2253
46	519	2241
47	530	2232
48	541	2221
49	552	2208
50	563	2199
51	574	2188
52	585	2176
53	597	2168
54	607	2153
55	617	2140
56	629	2131
57	640	2120
58	650	2107
59	660	2093
60	670	2077
61	680	2064
62	693	2058
63	704	2046
64	715	2035
65	726	2025
66	738	2015
67	748	2004
68	760	1994
69	770	1980
70	780	1968
71	792	1960
72	804	1950
73	815	1938
74	825	1925
75	837	1917
76	848	1906
77	859	1896
78	871	1885
79	882	1875
80	894	1866
81	905	1855
82	915	1841
83	925	1829
84	935	1816
85	945	1803
86	954	1789
87	964	1776
88	976	1766
89	988	1757
90	999	1746
91	1009	1734
92	1020	1722
93	1030	1710
94	1041	1700
95	1051	1687
96	1061	1674
97	1072	1662
98	1083	1652
99	1094	1641
100	1104	1629
101	1115	1618
102	1126	1607
103	1136	1596
104	1147	1584
105	1158	1573
106	1170	1563
107	1180	1552
108	1192	1542
109	1203	1532
110	1214	1521
111	1225	1509
112	1235	1498
113	1247	1487
114	1257	1476
115	1269	1465
116	1280	1455
117	1290	1443
118	1302	1433
119	1314	1423
120	1316	1403
121	1327	1392
122	1338	1381
123	1348	1370
124	1360	1360
125	1371	1349
126	1382	1339
127	1394	1328
128	1405	1318
129	1417	1308
130	1427	1297
131	1438	1285
132	1449	1274
133	1460	1264
134	1471	1253
135	1481	1242
136	1484	1224
137	1496	1214
138	1507	1203
139	1517	1192
140	1529	1182
141	1540	1171
142	1552	1161
143	1562	1150
144	1574	1139
145	1585	1129
146	1596	1118
147	1606	1107
148	1617	1096
149	1627	1085
150	1639	1074
151	1652	1065
152	1663	1054
153	1674	1044
154	1685	1033
155	1696	1021
156	1706	1010
157	1716	999
158	1727	988
159	1738	978
160	1750	967
161	1761	956
162	1771	945
163	1783	935
164	1794	924
165	1805	913
166	1817	903
167	1827	892
168	1838	881
169	1848	869
170	1859	859
171	1871	848
172	1882	837
173	1893	827
174	1906	816
175	1918	806
176	1931	796
177	1942	785
178	1954	775
179	1966	764
180	1978	754
181	1990	743
182	2002	733
183	2014	722
184	2026	711
185	2037	700
186	2050	690
187	2062	680
188	2072	668
189	2084	658
190	2095	647
191	2106	636
192	2117	625
193	2128	614
194	2139	603
195	2149	592
196	2161	581
197	2173	570
198	2184	559
199	2197	549
200	2210	538
201	2221	527
202	2233	517
203	2244	506
204	2256	495
205	2268	484
206	2281	473
207	2293	463
208	2305	452
209	2316	441
210	2326	430
211	2338	419
212	2350	408
213	2363	397
214	2375	386
215	2387	375
216	2398	364
217	2409	353
218	2422	342
219	2433	331
220	2445	320
221	2456	309
222	2469	298
223	2481	288
224	2493	277
225	2505	266
226	2515	254
227	2526	243
228	2538	232
229	2550	221
230	2562	210
231	2575	199
232	2587	188
233	2598	177
234	2610	166
235	2623	155
236	2634	144
237	2645	133
238	2655	122
239	2666	111
240	2676	99
241	2686	88
242	2698	77
243	2710	66
244	2722	55
245	2734	44
246	2745	33
247	2756	22
248	2766	11
249	2778	0
