,loss,conv,fa,cl,asp,ad,dataset,acc lp,best_values
0,LINE,SAGE,0.1,0.01,2,5,0.50.10.0125,0.6461916461916462,"{'hidden_layer': 64, 'out_layer': 128, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.008733284666899854, 'num_negative_samples': 16, 'lmbda': 0.14037292795475104}"
1,LINE,SAGE,0.1,0.01,2,20,0.50.10.01220,0.48306997742663654,"{'hidden_layer': 64, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.008245621094870224, 'num_negative_samples': 21, 'lmbda': 0.953587040588023}"
2,LINE,SAGE,0.1,0.01,2,40,0.50.10.01240,0.6026615969581749,"{'hidden_layer': 64, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.009213283629114884, 'num_negative_samples': 11, 'lmbda': 0.19186153906559839}"
3,LINE,SAGE,0.1,0.01,3,2,0.50.10.0132,0.6499068901303539,"{'hidden_layer': 256, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.00795845167896563, 'num_negative_samples': 21, 'lmbda': 0.781396826623517}"
4,LINE,SAGE,0.1,0.01,3,5,0.50.10.0135,0.5869565217391305,"{'hidden_layer': 64, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.008664947214197374, 'num_negative_samples': 16, 'lmbda': 0.7744746509374982}"
5,LINE,SAGE,0.1,0.01,3,20,0.50.10.01320,0.6612903225806451,"{'hidden_layer': 32, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.009482173069865887, 'num_negative_samples': 16, 'lmbda': 0.381187327203347}"
6,LINE,SAGE,0.1,0.01,4,2,0.50.10.0142,0.5976744186046512,"{'hidden_layer': 64, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.008062036533429065, 'num_negative_samples': 11, 'lmbda': 0.9273503815000657}"
7,LINE,SAGE,0.1,0.01,4,5,0.50.10.0145,0.6839378238341969,"{'hidden_layer': 64, 'out_layer': 64, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.008370050508262037, 'num_negative_samples': 16, 'lmbda': 0.5714168020248909}"
8,LINE,SAGE,0.1,0.01,7,2,0.50.10.0172,0.46987951807228917,"{'hidden_layer': 64, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.009284648769845133, 'num_negative_samples': 21, 'lmbda': 0.6602472386347505}"
9,LINE,SAGE,0.1,0.2,2,5,0.50.10.225,0.5578692493946731,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.0097436383907766, 'num_negative_samples': 16, 'lmbda': 0.7027292745254867}"
10,LINE,SAGE,0.1,0.2,2,20,0.50.10.2220,0.564266929651545,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.0, 'size of network, number of convs': 3, 'lr': 0.006669255627441869, 'num_negative_samples': 11, 'lmbda': 0.6528352093428887}"
11,LINE,SAGE,0.1,0.2,2,40,0.50.10.2240,0.6020725388601036,"{'hidden_layer': 256, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.007939988255667807, 'num_negative_samples': 11, 'lmbda': 0.5706430501311435}"
12,LINE,SAGE,0.1,0.2,3,2,0.50.10.232,0.8240469208211144,"{'hidden_layer': 128, 'out_layer': 64, 'dropout': 0.30000000000000004, 'size of network, number of convs': 3, 'lr': 0.008772127497958774, 'num_negative_samples': 6, 'lmbda': 0.8648545595050245}"
13,LINE,SAGE,0.1,0.2,3,5,0.50.10.235,0.6296722254169063,"{'hidden_layer': 128, 'out_layer': 64, 'dropout': 0.30000000000000004, 'size of network, number of convs': 3, 'lr': 0.008948684024894602, 'num_negative_samples': 6, 'lmbda': 0.8336856726984374}"
14,LINE,SAGE,0.1,0.2,3,20,0.50.10.2320,0.8089378238341969,"{'hidden_layer': 256, 'out_layer': 128, 'dropout': 0.4, 'size of network, number of convs': 3, 'lr': 0.005449443312598317, 'num_negative_samples': 11, 'lmbda': 0.2651294814137941}"
15,LINE,SAGE,0.1,0.2,4,2,0.50.10.242,0.8023255813953488,"{'hidden_layer': 128, 'out_layer': 64, 'dropout': 0.2, 'size of network, number of convs': 3, 'lr': 0.009518816022578962, 'num_negative_samples': 1, 'lmbda': 0.064171856878471}"
16,LINE,SAGE,0.1,0.2,4,5,0.50.10.245,0.5688311688311688,"{'hidden_layer': 256, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.007531001136332065, 'num_negative_samples': 21, 'lmbda': 0.890098494506305}"
17,LINE,SAGE,0.1,0.5,2,5,0.50.10.525,0.865774378585086,"{'hidden_layer': 128, 'out_layer': 64, 'dropout': 0.4, 'size of network, number of convs': 3, 'lr': 0.00719276086090067, 'num_negative_samples': 21, 'lmbda': 0.5436351912289612}"
18,LINE,SAGE,0.1,0.5,2,20,0.50.10.5220,0.8390057361376673,"{'hidden_layer': 128, 'out_layer': 64, 'dropout': 0.30000000000000004, 'size of network, number of convs': 3, 'lr': 0.008094500503083005, 'num_negative_samples': 6, 'lmbda': 0.16210285697505913}"
19,LINE,SAGE,0.1,0.5,2,40,0.50.10.5240,0.902868068833652,"{'hidden_layer': 128, 'out_layer': 64, 'dropout': 0.30000000000000004, 'size of network, number of convs': 3, 'lr': 0.00745901866422062, 'num_negative_samples': 1, 'lmbda': 0.48624847854074515}"
20,LINE,SAGE,0.1,0.5,3,5,0.50.10.535,0.8003824091778202,"{'hidden_layer': 128, 'out_layer': 64, 'dropout': 0.2, 'size of network, number of convs': 3, 'lr': 0.00736658297879891, 'num_negative_samples': 11, 'lmbda': 0.8089796063264643}"
21,LINE,SAGE,0.1,0.5,3,20,0.50.10.5320,0.8034416826003824,"{'hidden_layer': 128, 'out_layer': 64, 'dropout': 0.2, 'size of network, number of convs': 3, 'lr': 0.007565485167812365, 'num_negative_samples': 1, 'lmbda': 0.7281443006860684}"
22,LINE,SAGE,0.1,0.5,4,5,0.50.10.545,0.9138353765323993,"{'hidden_layer': 128, 'out_layer': 64, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.00928968002004711, 'num_negative_samples': 6, 'lmbda': 0.5193516873504517}"
23,LINE,SAGE,0.5,0.01,2,5,0.50.50.0125,0.7025171624713958,"{'hidden_layer': 64, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.008352770509493889, 'num_negative_samples': 11, 'lmbda': 0.48425054217067076}"
24,LINE,SAGE,0.5,0.01,2,20,0.50.50.01220,0.5917602996254682,"{'hidden_layer': 32, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.009039289224500308, 'num_negative_samples': 16, 'lmbda': 0.009623378067999976}"
25,LINE,SAGE,0.5,0.01,2,40,0.50.50.01240,0.6810035842293907,"{'hidden_layer': 32, 'out_layer': 64, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.00877997109730537, 'num_negative_samples': 11, 'lmbda': 0.16071612606610186}"
26,LINE,SAGE,0.5,0.01,3,2,0.50.50.0132,0.712890625,"{'hidden_layer': 32, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.008074814051781388, 'num_negative_samples': 11, 'lmbda': 0.05901300616815783}"
