,loss,conv,dataset,train acc micro,test acc micro,train acc macro,test acc macro
0,HOPE_RPR,SAGE,0.10.10.225,0.4165477888730385,0.0552763819095477,0.4271269826485585,0.0501937733841758
1,HOPE_RPR,SAGE,0.10.10.2220,0.3794579172610556,0.0402010050251256,0.3886487637072436,0.0335337780791501
2,HOPE_RPR,SAGE,0.10.10.2240,0.3951497860199714,0.0653266331658291,0.4075695543612486,0.0415313852813852
3,HOPE_RPR,SAGE,0.10.10.232,1.0,0.0150753768844221,1.0,0.0135858585858585
4,HOPE_RPR,SAGE,0.10.10.235,0.1540656205420827,0.0452261306532663,0.1400697800438356,0.0354196211053896
5,HOPE_RPR,SAGE,0.10.10.2320,1.0,0.100502512562814,1.0,0.0975666135513827
6,HOPE_RPR,SAGE,0.10.10.242,0.3737517831669044,0.0653266331658291,0.3845293579924457,0.0438248592192764
7,HOPE_RPR,SAGE,0.10.10.245,0.9329529243937232,0.0954773869346733,0.9327296741705244,0.0851809695874736
8,HOPE_RPR,SAGE,0.10.10.525,0.514978601997147,0.0703517587939698,0.5141161574852717,0.0605021593130041
9,HOPE_RPR,SAGE,0.10.10.5220,0.28815977175463625,0.035175879396984924,0.2947449375774137,0.03253353089091629
10,HOPE_RPR,SAGE,0.10.10.5240,0.5534950071326676,0.05025125628140704,0.5839596046498493,0.03055878761761115
11,HOPE_RPR,SAGE,0.10.10.535,0.7218259629101282,0.05527638190954774,0.7283218665198368,0.0370642437136798
12,HOPE_RPR,SAGE,0.10.10.5320,0.985734664764622,0.04020100502512563,0.9857937436492662,0.02978075336444174
13,HOPE_RPR,SAGE,0.10.10.545,1.0,0.05025125628140704,1.0,0.04321288827682689
14,HOPE_RPR,SAGE,0.10.50.225,1.0,0.06532663316582915,1.0,0.0682469068051246
15,HOPE_RPR,SAGE,0.10.50.2220,0.24393723252496433,0.11055276381909548,0.28225142593709684,0.0827561498195987
