,loss,conv,dataset,train acc micro,test acc micro,train acc macro,test acc macro
0,Force2Vec,GCN,Cornell,1.0,0.4722222222222222,1.0,0.1725338491295938
1,Force2Vec,GCN,Texas,1.0,0.5555555555555556,1.0,0.296031746031746
2,HOPE_CN,GCN,Cornell,0.5503875968992248,0.5277777777777778,0.4112248292248292,0.1931914893617021
3,LINE,GCN,Cornell,0.9922,0.5833,0.9947,0.3799
4,LapEigen,GCN,Cornell,0.7829457364341085,0.4722222222222222,0.7082180564533506,0.1922222222222222
5,VERSE_PPR,GCN,Cornell,1.0,0.5833333333333334,1.0,0.3071428571428571
6,VERSE_PPR,GCN,Texas,0.9767441860465116,0.6111111111111112,0.9672327672327672,0.4211462450592885
7,VERSE_Adj,GCN,Cornell,0.9689922480620154,0.5277777777777778,0.9598298777246146,0.3368253968253968
8,LINE,GCN,0.90.50.0125,0.9957203994293866,0.4522613065326633,0.9957335464591264,0.4459097125513394
9,LapEigen,GCN,0.90.50.0125,1.0,0.4924623115577889,1.0,0.4880363276422715
10,HOPE_CN,GCN,0.90.50.0125,1.0,0.3969849246231156,1.0,0.3942208566759826
11,LINE,GCN,0.50.10.242,0.8573466476462197,0.1909547738693467,0.8678060618934932,0.1877835976005274
12,LapEigen,GCN,0.50.10.242,0.9814550641940084,0.271356783919598,0.981464790652895,0.2701708696307322
13,HOPE_CN,GCN,0.50.10.242,0.7360912981455064,0.22110552763819097,0.736533873775253,0.21745474634403142
