,la,fa,cl,asp,ad,train acc micro,test acc micro,train acc macro,test acc macro
0,0.1,0.1,0.2,2.0,5.0,0.3181169757489301,0.09045226130653265,0.31511401460073885,0.08542703239964904
1,0.1,0.1,0.2,2.0,20.0,0.7831669044222539,0.045226130653266326,0.7838602243793988,0.04290385053542948
2,0.1,0.1,0.2,2.0,40.0,0.4921540656205421,0.04020100502512563,0.4922403735346169,0.03987427719625862
3,0.1,0.1,0.2,3.0,2.0,0.9572039942938659,0.06030150753768844,0.9574080659381676,0.06778050108932461
4,0.1,0.1,0.2,3.0,5.0,0.7332382310984308,0.07035175879396985,0.7335408940318461,0.06941828670786772
5,0.1,0.1,0.2,3.0,20.0,0.7118402282453639,0.11055276381909548,0.7100919631733388,0.10671510200706087
6,0.1,0.1,0.2,4.0,2.0,0.9629101283880172,0.07035175879396985,0.9630368515442379,0.06332167832167832
7,0.1,0.1,0.2,4.0,5.0,0.5078459343794579,0.11055276381909548,0.5081195911874585,0.10591324194570036
8,0.1,0.1,0.5,2.0,5.0,0.3095577746077033,0.06532663316582915,0.2930315208835168,0.04697285243893349
9,0.1,0.1,0.5,2.0,20.0,0.8787446504992867,0.05025125628140704,0.877877531114043,0.051287119227521695
10,0.1,0.1,0.5,2.0,40.0,1.0,0.045226130653266326,1.0,0.038853937622479816
11,0.1,0.1,0.5,3.0,5.0,0.3095577746077033,0.10552763819095477,0.302316463447989,0.09551640952637049
12,0.1,0.1,0.5,3.0,20.0,0.7746077032810271,0.045226130653266326,0.7740569642916859,0.04375392723218811
13,0.1,0.1,0.5,4.0,5.0,0.33523537803138376,0.10552763819095477,0.3316130237161353,0.09519858771796755
14,0.1,0.5,0.2,2.0,5.0,0.7731811697574893,0.05527638190954774,0.7731894712884038,0.056997463620652035
15,0.1,0.5,0.2,2.0,20.0,1.0,0.06532663316582915,1.0,0.06857997557997558
16,0.1,0.5,0.2,2.0,40.0,0.9971469329529244,0.09547738693467336,0.9972621075342077,0.08432930468590687
17,0.1,0.5,0.2,3.0,2.0,0.3067047075606277,0.06030150753768844,0.29911710360725263,0.05414817038898281
18,0.1,0.5,0.2,3.0,5.0,0.9985734664764622,0.08040201005025126,0.998595868898496,0.07922602678798112
19,0.1,0.5,0.2,3.0,20.0,1.0,0.06030150753768844,1.0,0.0580983633258502
20,0.1,0.5,0.2,4.0,2.0,0.9971469329529244,0.09045226130653265,0.9971615137799305,0.08574053724053725
21,0.1,0.5,0.2,4.0,5.0,0.25677603423680456,0.17587939698492464,0.25532189850924675,0.1613023608255025
22,0.1,0.5,0.5,2.0,5.0,0.68188302425107,0.07035175879396985,0.681755049257701,0.06754678114052463
23,0.1,0.5,0.5,2.0,20.0,1.0,0.045226130653266326,1.0,0.04317857581015476
24,0.1,0.5,0.5,2.0,40.0,0.29101283880171186,0.08040201005025126,0.29224275136196226,0.05949740133210666
25,0.1,0.5,0.5,3.0,5.0,0.2796005706134094,0.11055276381909548,0.27235848728545503,0.10981805965181923
26,0.1,0.5,0.5,3.0,20.0,0.6619115549215406,0.09547738693467336,0.6605858493200808,0.09593776593776594
27,0.1,0.5,0.5,4.0,5.0,0.31098430813124106,0.11055276381909548,0.3123608741672321,0.10413838693946222
28,0.1,0.9,0.2,2.0,5.0,0.24821683309557774,0.07035175879396985,0.23154768502352158,0.05861572026569158
29,0.1,0.9,0.2,2.0,20.0,0.24821683309557774,0.07035175879396985,0.23154768502352158,0.05861572026569158
30,0.1,0.9,0.2,2.0,40.0,0.24821683309557774,0.07035175879396985,0.23154768502352158,0.05861572026569158
31,0.1,0.9,0.2,3.0,2.0,0.8744650499286734,0.07035175879396985,0.8749162514643297,0.0642120703750895
32,0.1,0.9,0.2,3.0,5.0,0.9914407988587732,0.10050251256281408,0.9914252950362493,0.09951451020861476
33,0.1,0.9,0.2,3.0,20.0,0.4664764621968616,0.16080402010050251,0.4649885458370538,0.16104474715124656
34,0.1,0.9,0.2,4.0,2.0,0.2282453637660485,0.11055276381909548,0.22204161888146567,0.10239073657303215
35,0.1,0.9,0.2,4.0,5.0,0.2867332382310984,0.12562814070351758,0.2776826450393249,0.12320228825768799
36,0.1,0.9,0.5,2.0,5.0,0.2524964336661912,0.08542713567839195,0.2501987219876264,0.07940312820885574
37,0.1,0.9,0.5,2.0,20.0,0.9714693295292439,0.04020100502512563,0.9712748732059018,0.03619477914565665
38,0.1,0.9,0.5,2.0,40.0,1.0,0.07537688442211055,1.0,0.06943357049946061
39,0.1,0.9,0.5,3.0,5.0,0.2767475035663338,0.12562814070351758,0.26243288297102996,0.11651717361019687
40,0.1,0.9,0.5,3.0,20.0,0.24679029957203993,0.06532663316582915,0.22382328415925423,0.047079318754212146
41,0.1,0.9,0.5,4.0,5.0,0.289586305278174,0.11557788944723618,0.2764438454188812,0.1018026920590797
42,0.5,0.1,0.01,2.0,5.0,0.3823109843081313,0.20603015075376885,0.37948572168909883,0.19809375129625223
43,0.5,0.1,0.01,2.0,20.0,0.340941512125535,0.23115577889447236,0.33960256371885555,0.2503201885551237
44,0.5,0.1,0.01,2.0,40.0,0.5249643366619116,0.2562814070351759,0.5248300101615649,0.2519176272236296
45,0.5,0.1,0.01,3.0,2.0,0.5106990014265336,0.5226130653266332,0.5073207579533451,0.5164085632289968
46,0.5,0.1,0.01,3.0,5.0,0.5078459343794579,0.4824120603015075,0.49644862237335136,0.4674306986928807
47,0.5,0.1,0.01,3.0,20.0,0.3609129814550641,0.3668341708542713,0.352605417277999,0.3431901425344363
48,0.5,0.1,0.01,4.0,2.0,0.38659058487874465,0.22110552763819097,0.3857976638788671,0.22596577149263136
49,0.5,0.1,0.01,4.0,5.0,0.3609129814550641,0.22110552763819097,0.3591703087621447,0.22264726281195002
50,0.5,0.1,0.01,7.0,2.0,0.5834522111269614,0.3417085427135678,0.5842093774000092,0.3309419225276003
51,0.5,0.1,0.2,2.0,5.0,0.8716119828815977,0.9195979899497487,0.8712741398336453,0.9185904979840906
52,0.5,0.1,0.2,2.0,20.0,0.8288159771754636,0.8090452261306531,0.8147806962383394,0.784841873526084
53,0.5,0.1,0.2,2.0,40.0,0.25392296718972895,0.34673366834170855,0.23074408395299992,0.2822194571838535
54,0.5,0.1,0.2,3.0,2.0,0.5021398002853067,0.5226130653266332,0.503476146728335,0.5238013677983185
55,0.5,0.1,0.2,3.0,5.0,0.5249643366619116,0.21608040201005024,0.524560134820668,0.2148951658898469
56,0.5,0.1,0.2,3.0,20.0,0.39657631954350925,0.271356783919598,0.39704333507124323,0.26774569276362115
57,0.5,0.1,0.2,4.0,2.0,0.3880171184022825,0.24623115577889448,0.38620073750817363,0.2371822734806953
58,0.5,0.1,0.2,4.0,5.0,0.24964336661911554,0.23618090452261306,0.23336840221709923,0.1911944482170789
59,0.5,0.1,0.5,2.0,5.0,0.42368045649072755,0.20100502512562815,0.42297032259632195,0.20014405729687276
