,conv,dataset,train acc micro,test acc micro,train acc macro,test acc macro,label assortativity,feature assortativity,cluster coefficient,average shortest path,average degree
0,GCN,0.10.10.225,0.7888730385164051,0.1256281407035175,0.7888730385164051,0.1256281407035175,0.1,0.1,0.2,2,5
1,SAGE,0.10.10.225,0.7845934379457917,0.0954773869346733,0.7845934379457917,0.0954773869346733,0.1,0.1,0.2,2,5
2,GCN,0.10.10.2220,0.6847360912981455,0.1306532663316583,0.6847360912981455,0.1306532663316583,0.1,0.1,0.2,2,20
3,SAGE,0.10.10.2220,0.5320970042796006,0.0804020100502512,0.5320970042796006,0.0804020100502512,0.1,0.1,0.2,2,20
4,GCN,0.10.10.2240,0.8502139800285307,0.1708542713567839,0.8502139800285307,0.1708542713567839,0.1,0.1,0.2,2,40
5,SAGE,0.10.10.2240,0.6405135520684736,0.0402010050251256,0.6405135520684736,0.0402010050251256,0.1,0.1,0.2,2,40
6,GCN,0.10.10.232,0.7617689015691869,0.135678391959799,0.7617689015691869,0.135678391959799,0.1,0.1,0.2,3,2
7,SAGE,0.10.10.232,0.9029957203994294,0.0603015075376884,0.9029957203994294,0.0603015075376884,0.1,0.1,0.2,3,2
8,GCN,0.10.10.235,0.7104136947218259,0.1557788944723618,0.7104136947218259,0.1557788944723618,0.1,0.1,0.2,3,5
9,SAGE,0.10.10.235,0.3751783166904422,0.0603015075376884,0.3751783166904422,0.0603015075376884,0.1,0.1,0.2,3,5
10,GCN,0.10.10.2320,0.4935805991440798,0.1758793969849246,0.4935805991440798,0.1758793969849246,0.1,0.1,0.2,3,20
11,SAGE,0.10.10.2320,0.5905848787446505,0.0753768844221105,0.5905848787446505,0.0753768844221105,0.1,0.1,0.2,3,20
12,GCN,0.10.10.242,0.7960057061340942,0.1407035175879397,0.7960057061340942,0.1407035175879397,0.1,0.1,0.2,4,2
13,SAGE,0.10.10.242,0.8031383737517832,0.0703517587939698,0.8031383737517832,0.0703517587939698,0.1,0.1,0.2,4,2
14,GCN,0.10.10.245,0.4593437945791726,0.1105527638190954,0.4593437945791726,0.1105527638190954,0.1,0.1,0.2,4,5
15,SAGE,0.10.10.245,0.9300998573466476,0.100502512562814,0.9300998573466476,0.100502512562814,0.1,0.1,0.2,4,5
16,GCN,0.10.10.525,0.7360912981455064,0.0954773869346733,0.7360912981455064,0.0954773869346733,0.1,0.1,0.5,2,5
17,SAGE,0.10.10.525,0.7346647646219686,0.0854271356783919,0.7346647646219686,0.0854271356783919,0.1,0.1,0.5,2,5
18,GCN,0.10.10.5220,0.5249643366619116,0.2613065326633166,0.5249643366619116,0.2613065326633166,0.1,0.1,0.5,2,20
19,SAGE,0.10.10.5220,0.884450784593438,0.0954773869346733,0.884450784593438,0.0954773869346733,0.1,0.1,0.5,2,20
20,GCN,0.10.10.5240,0.1455064194008559,0.0854271356783919,0.1455064194008559,0.0854271356783919,0.1,0.1,0.5,2,40
21,SAGE,0.10.10.5240,0.8773181169757489,0.0552763819095477,0.8773181169757489,0.0552763819095477,0.1,0.1,0.5,2,40
22,GCN,0.10.10.535,0.6833095577746077,0.185929648241206,0.6833095577746077,0.185929648241206,0.1,0.1,0.5,3,5
23,SAGE,0.10.10.535,0.557774607703281,0.0653266331658291,0.557774607703281,0.0653266331658291,0.1,0.1,0.5,3,5
24,GCN,0.10.10.5320,0.3922967189728958,0.185929648241206,0.3922967189728958,0.185929648241206,0.1,0.1,0.5,3,20
25,SAGE,0.10.10.5320,1.0,0.0552763819095477,1.0,0.0552763819095477,0.1,0.1,0.5,3,20
